School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Blue Springs South,37.0,40.13,77.13,3,1,1
Christian Brothers College,43.39,28.13,71.51,1,5,2
Jackson,39.64,25.95,65.59,2,10,3
Nixa,34.62,28.11,62.72,4,6,4
Liberty,30.09,30.25,60.34,9,4,5
Lee's Summit,27.71,31.68,59.39,12,2,6
Blue Springs,27.1,31.54,58.64,13,3,7
Lee's Summit North,30.8,25.19,55.99,8,12,8
Liberty North,29.53,25.71,55.24,10,11,9
Lee's Summit West,28.66,24.09,52.75,11,14,10
Park Hill,23.48,28.06,51.54,15,8,11
Lafayette (Wildwood),30.98,20.3,51.28,6,18,12
Helias Catholic,24.26,26.91,51.16,14,9,13
North Kansas City,32.82,11.96,44.78,5,26,14
Staley,18.79,23.56,42.35,18,15,15
Rock Bridge,14.61,24.97,39.58,23,13,16
De Smet Jesuit,30.89,8.58,39.47,7,30,17
SLUH,10.42,28.1,38.51,30,7,18
Joplin,18.03,19.58,37.61,19,19,19
Troy Buchanan,23.19,13.85,37.05,16,24,20
Ft. Zumwalt West,11.77,20.83,32.6,28,17,21
Hickman,16.77,15.63,32.4,22,21,22
Raymore-Peculiar,8.52,22.77,31.29,33,16,23
Francis Howell,16.81,11.03,27.84,21,28,24
Seckman,9.08,15.06,24.14,31,22,25
Ozark,19.13,4.76,23.89,17,36,26
Liberty (Wentzville),12.69,11.2,23.88,26,27,27
Park Hill South,8.52,14.52,23.04,32,23,28
St. Dominic,14.11,8.16,22.27,24,32,29
Pattonville,17.3,4.93,22.23,20,35,30
Oakville,3.18,18.51,21.68,37,20,31
Oak Park,12.4,8.38,20.78,27,31,32
Northwest (Cedar Hill),13.2,5.95,19.15,25,33,33
Ritenour,6.81,12.13,18.94,34,25,34
Central (St. Joseph),11.28,5.06,16.34,29,34,35
Kickapoo,3.92,10.46,14.38,36,29,36
Lindbergh,5.98,4.75,10.73,35,37,37
Francis Howell Central,2.95,0.18,3.13,38,39,38
Marquette,-1.16,0.6,-0.55,39,38,39
Hazelwood Central,-12.33,-0.68,-13.01,40,40,40
Hazelwood West,-17.24,-11.58,-28.82,41,41,41
Francis Howell North,-27.92,-18.16,-46.08,42,42,42
