School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Platte County,37.87,28.75,66.63,1,3,1
Carthage,26.0,31.96,57.95,5,1,2
Cardinal Ritter,25.84,30.95,56.79,6,2,3
Rockhurst,27.95,28.09,56.03,3,4,4
Republic,28.32,23.74,52.06,2,6,5
Grain Valley,27.08,17.05,44.13,4,11,6
Kirkwood,23.76,19.92,43.68,9,8,7
Webb City,24.77,18.59,43.36,7,9,8
Eureka,12.89,25.31,38.2,18,5,9
St. Pius X (Kansas City),18.61,16.14,34.74,13,13,10
Neosho,22.89,11.6,34.5,10,20,11
Ft. Zumwalt North,13.05,21.17,34.22,16,7,12
Fort Osage,15.51,18.57,34.07,15,10,13
Capital City,19.38,14.08,33.46,12,15,14
Farmington,24.39,6.21,30.6,8,30,15
Lebanon,19.69,9.55,29.24,11,24,16
Parkway West,12.25,12.3,24.55,20,18,17
Rockwood Summit,8.99,15.19,24.18,23,14,18
Raytown,13.02,10.41,23.42,17,23,19
Glendale,18.09,4.73,22.83,14,32,20
Branson,10.81,11.73,22.54,22,19,21
Chaminade College Prep,12.3,9.3,21.6,19,26,22
Hazelwood East,6.88,12.74,19.62,24,17,23
Ladue Horton Watkins,3.98,12.78,16.76,31,16,24
Winnetonka,6.64,9.47,16.11,25,25,25
MICDS,5.03,10.75,15.77,29,22,26
Central (Cape Girardeau),-1.9,16.33,14.43,39,12,27
Fox,6.42,4.73,11.15,26,33,28
Rolla,3.67,7.07,10.74,32,28,29
Belton,11.81,-2.88,8.93,21,41,30
Smith-Cotton,-0.54,9.21,8.67,38,27,31
Jefferson City,2.09,6.26,8.35,34,29,32
William Chrisman,4.04,3.71,7.75,30,34,33
North Point,5.73,0.66,6.39,28,36,34
Timberland,1.86,2.78,4.64,35,35,35
Parkview,-8.12,11.33,3.21,45,21,36
Poplar Bluff,-2.52,5.41,2.88,40,31,37
Willard,3.32,-1.43,1.89,33,37,38
Camdenton,6.39,-5.84,0.56,27,46,39
Truman,0.2,-3.76,-3.56,37,42,40
Washington,-4.47,-1.76,-6.23,41,38,41
Ft. Zumwalt East,-5.01,-2.71,-7.72,43,40,42
Webster Groves,0.97,-8.73,-7.76,36,50,43
McCluer,-5.3,-4.08,-9.38,44,43,44
Battle,-4.9,-9.41,-14.31,42,51,45
Ft. Zumwalt South,-13.99,-1.9,-15.89,48,39,46
Hillcrest,-12.92,-5.98,-18.9,47,47,47
Waynesville,-9.01,-10.13,-19.14,46,52,48
Parkway South,-14.17,-5.45,-19.62,49,45,49
Mehlville,-17.14,-5.38,-22.52,52,44,50
Ruskin,-15.73,-8.25,-23.98,50,48,51
Grandview,-17.5,-8.56,-26.05,53,49,52
Parkway Central,-16.09,-10.65,-26.73,51,53,53
Riverview Gardens,-29.33,-14.17,-43.5,54,54,54
